Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_29_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ccc3nsnc:23)c1OC,-5.166226,-2.35701,2.809216,0.3210605293885945,2.8931924832266542,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_30_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ccc3nsnc:23)c1OC,-5.489471,-2.267504,3.221966,0.5024107799290324,2.852033855368026,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_31_single_A,CNc1ccc2nsnc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.216125,-1.957954,3.258171,0.1803399434628544,2.934975947802726,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_32_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ccc3nsnc:23)c1OC,-5.119629,-2.216338,2.903291,0.5054924117871379,2.795422770545203,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_33_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ccc3nsnc:23)c1OC,-5.51705,-2.776521,2.740529,0.5486065131231763,2.9842180882709552,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_34_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ccc3nsnc:23)c1OC,-5.646654,-2.932174,2.71448,0.347686055318937,2.9706619446796783,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_35_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ccc3nsnc:23)c1OC,-5.241507,-2.657741,2.583766,0.2621136524092199,2.9560817550063376,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_36_single_A,COc1cc2cc[nH]c2c(C2:c(F)ccc3nsnc:23)c1OC,-5.143842,-2.463295,2.680546,0.5954025559486057,2.830327185561247,single,F,DHI,Unmethlyated,7 - DHI,single
0_37_single_A,COc1cc2cc[nH]c2c(C2:c(O)ccc3nsnc:23)c1OC,-5.362788,-2.218103,3.144686,0.701113917129513,2.877097814931876,single,OH,DHI,Unmethlyated,7 - DHI,single
0_38_single_A,COc1cc2cc[nH]c2c(C2:c(S)ccc3nsnc:23)c1OC,-5.400665,-2.32308,3.077586,0.2982781027015282,3.076400612134673,single,SH,DHI,Unmethlyated,7 - DHI,single
0_39_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ccc3nsnc:23)c1OC,-5.235158,-2.516782,2.718376,0.2475361167887301,2.914507605141667,single,Br,DHI,Unmethlyated,7 - DHI,single
0_40_single_A,COc1cc2cc[nH]c2c(C2:cccc3nsnc:23)c1OC,-5.269422,-2.428177,2.841246,0.7246981415492879,2.709991145648296,single,none,DHI,Unmethlyated,7 - DHI,single
0_41_single_A,COc1cc2cc[nH]c2c(C2:c(C)ccc3nsnc:23)c1OC,-5.275236,-2.251011,3.024225,0.4716249911499586,2.826922290456352,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_42_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ccc3nsnc:23)c1OC,-5.248314,-2.873655,2.374659,0.4635366412029137,2.9678816334214577,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_43_single_A,COc1cc2cc[nH]c2c(C2:cc(OC(C)=O)cc3nsnc:23)c1OC,-5.101929,-2.327253,2.774675,0.5268607385451071,2.95654050817468,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_44_single_A,COc1cc2cc[nH]c2c(C2:cc(NC(C)=O)cc3nsnc:23)c1OC,-5.333419,-2.33127,3.002149,0.7388866562922476,2.8810640008981707,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_45_single_A,CNc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nsnc2c1,-5.192531,-2.010777,3.181754,0.6836101318713984,2.9974100615151027,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_46_single_A,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nsnc2c1,-5.290505,-2.300113,2.990392,0.6850200171466176,2.8586836401104208,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_47_single_A,COc1cc2cc[nH]c2c(C2:cc(C=O)cc3nsnc:23)c1OC,-5.44509,-2.958736,2.486354,0.7283925740443005,3.0461344762308222,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_48_single_A,COc1cc2cc[nH]c2c(C2:cc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.482801,-2.980268,2.502533,0.7192789342809461,3.0045413967344725,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_49_single_A,COc1cc2cc[nH]c2c(C2:cc(C(F)(F)F)cc3nsnc:23)c1OC,-5.510869,-2.827141,2.683728,0.7231307310599532,2.969546665438372,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_50_single_A,COc1cc2cc[nH]c2c(C2:cc(F)cc3nsnc:23)c1OC,-5.382636,-2.532045,2.850591,0.7345155192817627,2.913943269477331,single,F,DHI,Unmethlyated,7 - DHI,single
0_51_single_A,COc1cc2cc[nH]c2c(C2:cc(O)cc3nsnc:23)c1OC,-5.342378,-2.327757,3.014622,0.7416044256485086,2.9994411715752314,single,OH,DHI,Unmethlyated,7 - DHI,single
0_52_single_A,COc1cc2cc[nH]c2c(C2:cc(S)cc3nsnc:23)c1OC,-5.368287,-2.483837,2.884449,0.7294700131269125,3.227082430316491,single,SH,DHI,Unmethlyated,7 - DHI,single
0_53_single_A,COc1cc2cc[nH]c2c(C2:cc(Br)cc3nsnc:23)c1OC,-5.403589,-2.664934,2.738655,0.7256080178346075,2.955578234512295,single,Br,DHI,Unmethlyated,7 - DHI,single
0_54_single_A,COc1cc2cc[nH]c2c(C2:cc(C)cc3nsnc:23)c1OC,-5.250636,-2.317122,2.933514,0.7233447619667811,2.879942570176631,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_55_single_A,COc1cc2cc[nH]c2c(C2:cc(C#N)cc3nsnc:23)c1OC,-5.513504,-3.019474,2.494029,0.721845434780018,3.0183538742241334,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_56_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ncc3nsnc:23)c1OC,-5.205647,-2.810539,2.395108,0.371510703356272,3.169947160981333,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_57_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ncc3nsnc:23)c1OC,-5.52991,-2.723094,2.806816,0.5770321056838867,3.0909885331227045,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_58_single_A,CNc1ncc2nsnc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.242761,-2.386751,2.856009,0.3697054579310005,3.154513740444868,single,Amine,DHI,Unmethlyated,7 - DHI,single
0_59_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ncc3nsnc:23)c1OC,-5.071428,-2.615503,2.455925,0.5011018629144224,3.0744769511472088,single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_60_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ncc3nsnc:23)c1OC,-5.178135,-3.135268,2.042867,0.2467294096618907,3.2655297939565733,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_61_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ncc3nsnc:23)c1OC,-5.459353,-3.475023,1.98433,0.4214468032897137,3.274304305059024,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_62_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ncc3nsnc:23)c1OC,-5.310065,-3.018084,2.291981,0.3987188163719984,3.1733089415184548,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_63_single_A,COc1cc2cc[nH]c2c(C2:c(F)ncc3nsnc:23)c1OC,-5.233085,-2.950013,2.283072,0.6091453984962591,3.146160052694114,single,F,DHI,Unmethlyated,7 - DHI,single
0_64_single_A,COc1cc2cc[nH]c2c(C2:c(O)ncc3nsnc:23)c1OC,-5.079867,-2.664464,2.415404,0.5527076430266423,3.2099257869598468,single,OH,DHI,Unmethlyated,7 - DHI,single
0_65_single_A,COc1cc2cc[nH]c2c(C2:c(S)ncc3nsnc:23)c1OC,-5.257265,-2.755025,2.502239,0.3309727974947248,3.3318789338129946,single,SH,DHI,Unmethlyated,7 - DHI,single
0_66_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ncc3nsnc:23)c1OC,-5.313815,-2.975575,2.33824,0.3179288921871183,3.207072640106701,single,Br,DHI,Unmethlyated,7 - DHI,single
0_67_single_A,COc1cc2cc[nH]c2c(C2:cncc3nsnc:23)c1OC,-5.378613,-2.852653,2.52596,0.7391250132725957,3.03162215526368,single,none,DHI,Unmethlyated,7 - DHI,single
0_68_single_A,COc1cc2cc[nH]c2c(C2:c(C)ncc3nsnc:23)c1OC,-5.474192,-2.730026,2.744166,0.488826166363056,3.044999213533273,single,methyl,DHI,Unmethlyated,7 - DHI,single
0_69_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ncc3nsnc:23)c1OC,-5.347357,-3.22675,2.120607,0.462737297931673,3.206047519709082,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_70_single_A,COc1cc2cc[nH]c2c(C2:nc(OC(C)=O)cc3nsnc:23)c1OC,-5.095559,-2.687209,2.40835,0.76487318356944,3.1768889489231205,single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_71_single_A,COc1cc2cc[nH]c2c(C2:nc(NC(C)=O)cc3nsnc:23)c1OC,-5.44086,-2.636851,2.804009,0.7059895195717963,3.055968990503162,single,Amide,DHI,Unmethlyated,7 - DHI,single
0_72_single_A,CNc1cc2nsnc2:C(c2c(OC)c(OC)cc3cc[nH]c23):n1,-5.11655,-2.282045,2.834505,0.7581457478962214,3.1188047103445324,single,Amine,DHI,Unmethlyated,7 - DHI,single
