Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_29_single_A,COc1cc2cc[nH]c2c(C2:c(OC(C)=O)ccc3nsnc:23)c1OC,-5.166226,-2.35701,2.809216,2.8931924832266542,0.10307986353128454,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_30_single_A,COc1cc2cc[nH]c2c(C2:c(NC(C)=O)ccc3nsnc:23)c1OC,-5.489471,-2.267504,3.221966,2.852033855368026,0.2524165917888986,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_31_single_A,CNc1ccc2nsnc2:C:1c1c(OC)c(OC)cc2cc[nH]c12,-5.216125,-1.957954,3.258171,2.934975947802726,0.03252249520818554,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_32_single_A,COc1cc2cc[nH]c2c(C2:c(OC)ccc3nsnc:23)c1OC,-5.119629,-2.216338,2.903291,2.795422770545203,0.2555225783743775,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_33_single_A,COc1cc2cc[nH]c2c(C2:c(C=O)ccc3nsnc:23)c1OC,-5.51705,-2.776521,2.740529,2.9842180882709552,0.30096910624116985,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_34_single_A,COc1cc2cc[nH]c2c(C2:c(S(=O)(=O)O)ccc3nsnc:23)c1OC,-5.646654,-2.932174,2.71448,2.9706619446796783,0.12088559306324298,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_35_single_A,COc1cc2cc[nH]c2c(C2:c(C(F)(F)F)ccc3nsnc:23)c1OC,-5.241507,-2.657741,2.583766,2.9560817550063376,0.06870356677930135,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_36_single_A,COc1cc2cc[nH]c2c(C2:c(F)ccc3nsnc:23)c1OC,-5.143842,-2.463295,2.680546,2.830327185561247,0.3545042036301327,Single,F,DHI,Unmethlyated,7 - DHI,single
0_37_single_A,COc1cc2cc[nH]c2c(C2:c(O)ccc3nsnc:23)c1OC,-5.362788,-2.218103,3.144686,2.877097814931876,0.4915607247926896,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_38_single_A,COc1cc2cc[nH]c2c(C2:c(S)ccc3nsnc:23)c1OC,-5.400665,-2.32308,3.077586,3.076400612134673,0.08896982655122349,Single,SH,DHI,Unmethlyated,7 - DHI,single
0_39_single_A,COc1cc2cc[nH]c2c(C2:c(Br)ccc3nsnc:23)c1OC,-5.235158,-2.516782,2.718376,2.914507605141667,0.06127412911484386,Single,Br,DHI,Unmethlyated,7 - DHI,single
0_40_single_A,COc1cc2cc[nH]c2c(C2:cccc3nsnc:23)c1OC,-5.269422,-2.428177,2.841246,2.709991145648296,0.5251873963649918,Single,none,DHI,Unmethlyated,7 - DHI,single
0_41_single_A,COc1cc2cc[nH]c2c(C2:c(C)ccc3nsnc:23)c1OC,-5.275236,-2.251011,3.024225,2.826922290456352,0.2224301322771984,Single,methyl,DHI,Unmethlyated,7 - DHI,single
0_42_single_A,COc1cc2cc[nH]c2c(C2:c(C#N)ccc3nsnc:23)c1OC,-5.248314,-2.873655,2.374659,2.9678816334214577,0.21486621773767867,Single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_43_single_A,COc1cc2cc[nH]c2c(C2:cc(OC(C)=O)cc3nsnc:23)c1OC,-5.101929,-2.327253,2.774675,2.95654050817468,0.2775822378202958,Single,Acetate,DHI,Unmethlyated,7 - DHI,single
0_44_single_A,COc1cc2cc[nH]c2c(C2:cc(NC(C)=O)cc3nsnc:23)c1OC,-5.333419,-2.33127,3.002149,2.8810640008981707,0.545953490846738,Single,Amide,DHI,Unmethlyated,7 - DHI,single
0_45_single_A,CNc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nsnc2c1,-5.192531,-2.010777,3.181754,2.9974100615151027,0.4673228123972307,Single,Amine,DHI,Unmethlyated,7 - DHI,single
0_46_single_A,COc1c:C(c2c(OC)c(OC)cc3cc[nH]c23):c2nsnc2c1,-5.290505,-2.300113,2.990392,2.8586836401104208,0.4692524238915523,Single,Methoxy,DHI,Unmethlyated,7 - DHI,single
0_47_single_A,COc1cc2cc[nH]c2c(C2:cc(C=O)cc3nsnc:23)c1OC,-5.44509,-2.958736,2.486354,3.0461344762308222,0.5305557419228817,Single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_48_single_A,COc1cc2cc[nH]c2c(C2:cc(S(=O)(=O)O)cc3nsnc:23)c1OC,-5.482801,-2.980268,2.502533,3.0045413967344725,0.5173621853003336,Single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_49_single_A,COc1cc2cc[nH]c2c(C2:cc(C(F)(F)F)cc3nsnc:23)c1OC,-5.510869,-2.827141,2.683728,2.969546665438372,0.5229180542033025,Single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_50_single_A,COc1cc2cc[nH]c2c(C2:cc(F)cc3nsnc:23)c1OC,-5.382636,-2.532045,2.850591,2.913943269477331,0.5395130480657575,Single,F,DHI,Unmethlyated,7 - DHI,single
0_51_single_A,COc1cc2cc[nH]c2c(C2:cc(O)cc3nsnc:23)c1OC,-5.342378,-2.327757,3.014622,2.9994411715752314,0.5499771241414543,Single,OH,DHI,Unmethlyated,7 - DHI,single
0_52_single_A,COc1cc2cc[nH]c2c(C2:cc(S)cc3nsnc:23)c1OC,-5.368287,-2.483837,2.884449,3.227082430316491,0.532126500051378,Single,SH,DHI,Unmethlyated,7 - DHI,single
