Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV,Linker Type,Fragment Functional Group,Eumelanin Type,Eumelanin Func Type,Eumelanin Bonded Type,Eumelanin Linker Type
0_76_single_A,COc1cc2cc[nH]c2c(C2:nc(C(F)(F)F)cc3nsnc:23)c1OC,-5.487701,-2.994533,2.493168,3.152695242888318,0.6739791506489614,387.7649999994901,860.0330000044778,single,Trifloro,DHI,Unmethlyated,7 - DHI,single
0_84_single_A,COc1cc2cc[nH]c2c(C2:nncc3nsnc:23)c1OC,-5.269517,-2.994647,2.27487,3.16980028026368,0.6804677130171605,394.45700000214856,652.831999999762,single,none,DHI,Unmethlyated,7 - DHI,single
0_103_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C=O)cnc:23)c1OC,-5.244991,-2.861173,2.383818,3.196272937769283,0.8816589933954271,420.4449999961071,548.6910000036005,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_111_single_A,COc1cc2cc[nH]c2c(C2:scc3nc(C#N)cnc:23)c1OC,-5.368393,-2.97962,2.388773,3.200198021381322,0.8805820993864215,373.66900000779424,564.9370000028284,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_184_single_A,COc1cc2cc[nH]c2c(C2:nc(C=O)cc3nonc:23)c1OC,-5.49325,-3.162633,2.330617,3.174516416030153,0.7223991823199588,371.9630000014149,618.0350000031467,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_185_single_A,COc1cc2cc[nH]c2c(C2:nc(S(=O)(=O)O)cc3nonc:23)c1OC,-5.626375,-3.257301,2.369073,3.2339664757650315,0.7509014692396259,612.9839999994147,806.7829999999958,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_193_single_A,COc1cc2cc[nH]c2c(C2:nc(C#N)cc3nonc:23)c1OC,-5.555789,-3.22097,2.334819,3.1871264494749685,0.7710710252428365,347.8350000004866,605.9880000029807,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_194_single_A,COc1cc2cc[nH]c2c(C2:nncc3nonc:23)c1OC,-5.421458,-3.048017,2.373442,3.125894991802141,0.7950557297875878,440.7900000041991,605.2109999982349,single,none,DHI,Unmethlyated,7 - DHI,single
0_208_single_A,COc1cc2cc[nH]c2c(C2:occ3ncc(C#N)nc:23)c1OC,-5.463096,-3.109876,2.35322,3.2472689243913564,0.9580359931340111,359.3949999958568,674.3900000001304,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_213_single_A,COc1cc2cc[nH]c2c(C2:occ3nc(C=O)cnc:23)c1OC,-5.236479,-2.932946,2.303533,3.255151198638848,0.9226428130191291,471.8769999999495,624.1159999990487,single,carbonyl,DHI,Unmethlyated,7 - DHI,single
0_214_single_A,COc1cc2cc[nH]c2c(C2:occ3nc(S(=O)(=O)O)cnc:23)c1OC,-5.430676,-3.117066,2.313611,3.334669742361447,0.9222926009506098,724.5239999974729,699.3009999932838,single,Sulfonic Acid,DHI,Unmethlyated,7 - DHI,single
0_221_single_A,COc1cc2cc[nH]c2c(C2:occ3nc(C#N)cnc:23)c1OC,-5.367782,-3.049913,2.317869,3.2590762822508887,0.9211347028888985,414.4430000014836,616.6809999995166,single,cyanide,DHI,Unmethlyated,7 - DHI,single
0_42_double_A,COc1cc2cc[nH]c2c(C=CC2:c(C#N)ccc3nsnc:23)c1OC,-5.316517,-2.889618,2.426899,3.175604874079045,0.8856650940186496,258.39100000303006,605.9580000001006,double,cyanide,DHI,Unmethlyated,7 - DHI,double
0_47_double_A,COc1cc2cc[nH]c2c(C=CC2:cc(C=O)cc3nsnc:23)c1OC,-5.373963,-2.901763,2.4722,3.217555027925199,0.937170951896597,322.2699999969336,549.7189999950933,double,carbonyl,DHI,Unmethlyated,7 - DHI,double
0_56_double_A,COc1cc2cc[nH]c2c(C=CC2:c(OC(C)=O)ncc3nsnc:23)c1OC,-5.336448,-2.854279,2.482169,3.3418121600472794,0.9077771883689358,419.9850000004517,655.4079999987152,double,Acetate,DHI,Unmethlyated,7 - DHI,double
0_59_double_A,COc1cc2cc[nH]c2c(C=CC2:c(OC)ncc3nsnc:23)c1OC,-5.04751,-2.697761,2.349749,3.2699894894636614,0.9270887086881018,402.9020000016317,532.1900000053574,double,Methoxy,DHI,Unmethlyated,7 - DHI,double
0_60_double_A,COc1cc2cc[nH]c2c(C=CC2:c(C=O)ncc3nsnc:23)c1OC,-5.337355,-3.168408,2.168948,3.4313913356175068,0.9073187049122056,283.4749999965424,765.6149999893387,double,carbonyl,DHI,Unmethlyated,7 - DHI,double
0_62_double_A,COc1cc2cc[nH]c2c(C=CC2:c(C(F)(F)F)ncc3nsnc:23)c1OC,-5.418414,-3.116739,2.301675,3.356886415159254,0.7589370834764643,463.6580000078538,896.3470000016969,double,Trifloro,DHI,Unmethlyated,7 - DHI,double
0_63_double_A,COc1cc2cc[nH]c2c(C=CC2:c(F)ncc3nsnc:23)c1OC,-5.303492,-2.935522,2.36797,3.329212774638181,0.9328223728183557,384.21099999686703,585.5510000037611,double,F,DHI,Unmethlyated,7 - DHI,double
0_64_double_A,COc1cc2cc[nH]c2c(C=CC2:c(O)ncc3nsnc:23)c1OC,-5.091766,-2.74641,2.345357,3.38187431309972,0.9260678896978499,405.12299999682,548.2199999969453,double,OH,DHI,Unmethlyated,7 - DHI,double
0_65_double_A,COc1cc2cc[nH]c2c(C=CC2:c(S)ncc3nsnc:23)c1OC,-5.244388,-2.842798,2.40159,3.493664697715104,0.8733065144432505,411.485000004177,577.5869999997667,double,SH,DHI,Unmethlyated,7 - DHI,double
0_66_double_A,COc1cc2cc[nH]c2c(C=CC2:c(Br)ncc3nsnc:23)c1OC,-5.372372,-3.045927,2.326445,3.379258928484335,0.8438102810103503,454.171999997925,619.6290000079898,double,Br,DHI,Unmethlyated,7 - DHI,double
0_69_double_A,COc1cc2cc[nH]c2c(C=CC2:c(C#N)ncc3nsnc:23)c1OC,-5.412237,-3.16798,2.244257,3.3766676433098137,0.8964375834151227,259.8780000043916,869.6130000025732,double,cyanide,DHI,Unmethlyated,7 - DHI,double
0_74_double_A,COc1cc2cc[nH]c2c(C=CC2:nc(C=O)cc3nsnc:23)c1OC,-5.43801,-3.009429,2.428581,3.426155643309814,0.9744848322150341,267.5920000037877,100000000.0,double,carbonyl,DHI,Unmethlyated,7 - DHI,double
0_83_double_A,COc1cc2cc[nH]c2c(C=CC2:nc(C#N)cc3nsnc:23)c1OC,-5.504286,-3.094828,2.409458,3.4248522586944308,0.9814895692989443,247.5369999956456,541.4719999971567,double,cyanide,DHI,Unmethlyated,7 - DHI,double
0_84_double_A,COc1cc2cc[nH]c2c(C=CC2:nncc3nsnc:23)c1OC,-5.386499,-2.951144,2.435355,3.367242034759249,0.9752227856723258,297.6720000078785,819.8170000105165,double,none,DHI,Unmethlyated,7 - DHI,double
0_89_double_A,COc1cc2cc[nH]c2c(C=CC2:scc3ncc(C=O)nc:23)c1OC,-5.198893,-2.925696,2.273197,3.392446720232892,0.9664529483158288,317.3019999958342,428.2899999961956,double,carbonyl,DHI,Unmethlyated,7 - DHI,double
0_91_double_A,COc1cc2cc[nH]c2c(C=CC2:scc3ncc(C(F)(F)F)nc:23)c1OC,-5.092208,-2.730615,2.361593,3.3341103684211824,0.9791753356962563,389.9469999960274,446.0049999979674,double,Trifloro,DHI,Unmethlyated,7 - DHI,double
