Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV
1_81_thio_B,COc1cc2cc(-c3sc(C4:nccc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.633482,-2.747544,1.885938,0.9999999745592764,3.008207229213533,230.5899999992107,288.1410000045434
1_40_thio_B,COc1cc2cc(-c3sc(C4:cccc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.524669,-2.492857,2.031812,0.9999998519223404,2.826664372070676,238.00099999789376,299.3169999899692
1_191_thio_B,COc1cc2cc(-c3sc(C4:nccc5nonc:45)cc3OC)[nH]c2cc1OC,-4.760126,-2.7768,1.983326,0.9999999995259004,2.9817610753673787,245.2649999977438,285.7230000008712
1_82_thio_B,COc1cc2cc(-c3sc(C4:nc(C)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.607008,-2.695598,1.91141,0.9999995180986718,3.0719860184269203,230.8789999951841,287.1779999986756
1_98_double_A,COc1cc2cc(C=CC3:scc4ncc(C#N)nc:34)[nH]c2cc1OC,-4.892931,-2.906988,1.985943,0.999999999995994,3.1963741048482763,223.9300000001094,281.9000000090454
1_165_thio_B,COc1cc2cc(-c3sc(C4:cc(C#N)cc5nonc:45)cc3OC)[nH]c2cc1OC,-4.869047,-3.05349,1.815557,0.9999970854071292,3.0584898747346365,233.3159999980125,502.2140000073705
1_55_thio_B,COc1cc2cc(-c3sc(C4:cc(C#N)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.746285,-2.982215,1.76407,0.999995675270582,3.103209840162468,222.2959999999147,281.7109999959939
1_163_thio_B,COc1cc2cc(-c3sc(C4:cc(Br)cc5nonc:45)cc3OC)[nH]c2cc1OC,-4.763691,-2.751039,2.012652,0.9999998653026028,2.9957468413249533,252.7899999986402,286.4360000094166
5_42_triple_A,COc1cc2cc(C#CC3:c(C#N)ccc4nsnc:34)n(C)c2cc1OC,-5.26841,-2.959021,2.309389,1.0,3.083613873925934,203.2440000039059,100000000.0
1_98_thio_B,COc1cc2cc(-c3sc(C4:scc5ncc(C#N)nc:45)cc3OC)[nH]c2cc1OC,-4.708228,-3.011082,1.697147,0.9999998758806296,3.2318966163076697,209.2809999958262,346.8299999949522
1_55_double_A,COc1cc2cc(C=CC3:cc(C#N)cc4nsnc:34)[nH]c2cc1OC,-5.032503,-2.856564,2.175939,0.9999999764620446,3.01315625869443,227.0579999967594,277.8239999970537
1_179_thio_B,COc1cc2cc(-c3sc(C4:c(C#N)ncc5nonc:45)cc3OC)[nH]c2cc1OC,-4.958432,-3.231459,1.726973,0.9999999608955176,3.224962649151232,225.1069999983883,255.8520000020508
1_42_thio_B,COc1cc2cc(-c3sc(C4:c(C#N)ccc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.894725,-2.979121,1.915603,0.999919777414173,3.058300073524612,192.1159999983501,603.5780000020168
1_50_thio_B,COc1cc2cc(-c3sc(C4:cc(F)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.628319,-2.588099,2.04022,0.999999128112887,3.010074390519944,247.4569999976665,312.5139999974635
1_42_triple_A,COc1cc2cc(C#CC3:c(C#N)ccc4nsnc:34)[nH]c2cc1OC,-5.153265,-2.919645,2.233621,1.0,3.0890885663867387,244.2809999993188,286.8889999954263
5_55_triple_A,COc1cc2cc(C#CC3:cc(C#N)cc4nsnc:34)n(C)c2cc1OC,-5.139929,-2.995606,2.144324,1.0,3.1616090787211384,254.64199999987613,264.28799999848707
1_152_thio_B,COc1cc2cc(-c3sc(C4:c(C#N)ccc5nonc:45)cc3OC)[nH]c2cc1OC,-4.978626,-3.042329,1.936298,0.9999171626044978,3.0469291141469093,204.7290000045905,283.6949999982607
1_69_triple_A,COc1cc2cc(C#CC3:c(C#N)ncc4nsnc:34)[nH]c2cc1OC,-5.248261,-3.211917,2.036343,1.0,3.3090042586944293,243.2069999995292,280.61600000364706
5_60_triple_A,COc1cc2cc(C#CC3:c(C=O)ncc4nsnc:34)n(C)c2cc1OC,-5.133854,-3.055298,2.078556,1.0,3.351119768031828,233.3349999971688,247.28699999832315
5_152_triple_A,COc1cc2cc(C#CC3:c(C#N)ccc4nonc:34)n(C)c2cc1OC,-5.421005,-3.076598,2.344407,1.0,3.054763524275584,223.58499999972992,282.05899999738904
1_74_thio_B,COc1cc2cc(-c3sc(C4:nc(C=O)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.78632,-3.073128,1.713192,0.9999999713914318,3.254697653472752,230.851000000257,502.7070000069216
1_98_single_A,COc1cc2cc(C3:scc4ncc(C#N)nc:34)[nH]c2cc1OC,-5.051666,-3.000649,2.051017,0.999999999930301,2.9783003625184463,267.25299999816343,279.71099999558646
1_152_double_A,COc1cc2cc(C=CC3:c(C#N)ccc4nonc:34)[nH]c2cc1OC,-5.171828,-2.920713,2.251115,0.9999996399926696,2.9589679510021227,216.2490000009711,247.7139999973587
1_84_thio_B,COc1cc2cc(-c3sc(C4:nncc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.7424,-3.048862,1.693538,0.999999998919568,3.186270416026721,253.3220000041183,287.625000004482
1_170_thio_B,COc1cc2cc(-c3sc(C4:c(C=O)ncc5nonc:45)cc3OC)[nH]c2cc1OC,-4.92204,-3.161833,1.760207,0.999999648760114,3.2710781201970383,213.967000003322,261.1199999955715
1_208_thio_B,COc1cc2cc(-c3sc(C4:occ5ncc(C#N)nc:45)cc3OC)[nH]c2cc1OC,-4.715446,-2.955455,1.759991,0.999999999964578,3.2893628220120785,242.8729999955976,275.6270000027143
1_36_thio_B,COc1cc2cc(-c3sc(C4:c(F)ccc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.498865,-2.574419,1.924446,0.9999988507405232,2.953986197317798,267.2319999983301,303.1990000017686
1_77_thio_B,COc1cc2cc(-c3sc(C4:nc(F)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.74487,-2.84049,1.90438,0.9999999987139389,3.203812673167529,244.8859999931301,282.1249999979045
1_96_thio_B,COc1cc2cc(-c3sc(C4:scc5nccnc:45)cc3OC)[nH]c2cc1OC,-4.454515,-2.465092,1.989422,0.999999883504712,3.0283517347080373,261.99899999483017,490.4509999978472
1_193_thio_B,COc1cc2cc(-c3sc(C4:nc(C#N)cc5nonc:45)cc3OC)[nH]c2cc1OC,-5.184925,-3.30684,1.878086,0.9999986476418344,3.2244383622022257,218.3119999972405,275.4090000089491
1_73_thio_B,COc1cc2nsnc2:C(c2cc(OC)c(-c3cc4cc(OC)c(OC)cc4[nH]3)s2):n1,-4.66431,-2.692519,1.971791,0.9999998748624392,3.1342174460397354,250.95100000908133,279.2360000094049
1_83_double_A,COc1cc2cc(C=CC3:nc(C#N)cc4nsnc:34)[nH]c2cc1OC,-5.186336,-3.029866,2.15647,0.9999999999996868,3.2378350279251986,217.823999999382,259.8520000028657
1_111_thio_B,COc1cc2cc(-c3sc(C4:scc5nc(C#N)cnc:45)cc3OC)[nH]c2cc1OC,-4.684476,-3.00173,1.682746,0.999999851022602,3.241050635322363,241.0190000009606,280.4359999936423
5_330_double_A,COc1cc2cc(C=CC3:cccc4ncc(C#N)nc:34)n(C)c2cc1OC,-4.802789,-2.685299,2.117489,0.9997972780271605,2.8197498523549704,241.5600000022095,332.7730000019073
1_83_thio_B,COc1cc2cc(-c3sc(C4:nc(C#N)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-5.031866,-3.22562,1.806246,0.9999968579149244,3.264473971536712,208.3219999913126,277.1920000013779
1_317_triple_A,COc1cc2cc(C#CC3:cccc4nc(C#N)cnc:34)[nH]c2cc1OC,-5.065331,-2.728015,2.337316,1.0,2.9781490387611,256.2240000042948,275.5840000027092
5_98_triple_A,COc1cc2cc(C#CC3:scc4ncc(C#N)nc:34)n(C)c2cc1OC,-5.223425,-3.075518,2.147907,1.0,3.335928559240619,239.4560000029741,505.8659999995143
5_179_triple_A,COc1cc2cc(C#CC3:c(C#N)ncc4nonc:34)n(C)c2cc1OC,-5.597827,-3.38989,2.207937,1.0,3.261324763036823,235.75300000084096,528.7309999985155
1_98_triple_A,COc1cc2cc(C#CC3:scc4ncc(C#N)nc:34)[nH]c2cc1OC,-5.220141,-3.057232,2.162909,1.0,3.3481316433098147,234.5939999941038,290.5970000065281
1_80_thio_B,COc1cc2cc(-c3sc(C4:nc(Br)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.78506,-2.939415,1.845645,0.9999999844463586,3.2079310989278147,252.7910000062547,283.8029999984428
1_53_thio_B,COc1cc2cc(-c3sc(C4:cc(Br)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.647296,-2.695229,1.952067,0.9998381069924882,3.0420268055467776,239.02200000884469,506.9249999942258
1_89_thio_B,COc1cc2cc(-c3sc(C4:scc5ncc(C=O)nc:45)cc3OC)[nH]c2cc1OC,-4.686313,-2.953443,1.73287,0.999999477869472,3.239527558399286,242.4009999958798,278.0120000024908
1_317_double_A,COc1cc2cc(C=CC3:cccc4nc(C#N)cnc:34)[nH]c2cc1OC,-4.911227,-2.624358,2.286869,0.9999947746771192,2.795601701482992,232.9200000021956,300.7950000028359
1_111_double_A,COc1cc2cc(C=CC3:scc4nc(C#N)cnc:34)[nH]c2cc1OC,-4.883401,-2.893979,1.989421,0.9999999999464751,3.2072368740790456,256.4690000072005,519.163999997545
1_152_imine_B,COc1cc2cc(N=CC3:c(C#N)ccc4nonc:34)[nH]c2cc1OC,-5.232907,-3.147435,2.085472,0.9999999997158096,3.1468030279252,251.6219999997702,532.8760000011243
1_330_thio_B,COc1cc2cc(-c3sc(C4:cccc5ncc(C#N)nc:45)cc3OC)[nH]c2cc1OC,-4.762093,-2.83824,1.923853,0.9882688699200136,2.909058899586574,247.5719999929424,512.840999996115
1_187_thio_B,COc1cc2cc(-c3sc(C4:nc(F)cc5nonc:45)cc3OC)[nH]c2cc1OC,-4.889473,-2.919661,1.969812,0.9999999997387294,3.1623804728097475,260.3019999951357,280.745999996725
1_192_thio_B,COc1cc2cc(-c3sc(C4:nc(C)cc5nonc:45)cc3OC)[nH]c2cc1OC,-5.030521,-2.880218,2.150303,0.9999987259890116,3.030553818069139,246.966999999131,284.7390000024461
1_164_thio_B,COc1cc2cc(-c3sc(C4:cc(C)cc5nonc:45)cc3OC)[nH]c2cc1OC,-4.615834,-2.446478,2.169356,0.9999994863019231,2.937700866369676,259.6439999979338,297.5709999955143
1_190_thio_B,COc1cc2cc(-c3sc(C4:nc(Br)cc5nonc:45)cc3OC)[nH]c2cc1OC,-4.925936,-3.013003,1.912933,0.9999999999987776,3.166498898570035,270.6230000039795,283.0769999854965
1_165_triple_A,COc1cc2cc(C#CC3:cc(C#N)cc4nonc:34)[nH]c2cc1OC,-5.316042,-3.077297,2.238745,1.0,3.1216547202328924,258.8069999983418,255.61299999753828
1_179_double_A,COc1cc2cc(C=CC3:c(C#N)ncc4nonc:34)[nH]c2cc1OC,-5.295049,-3.170602,2.124447,0.999996880700622,3.1521845663867367,224.199000003864,239.9360000017623
1_194_thio_B,COc1cc2cc(-c3sc(C4:nncc5nonc:45)cc3OC)[nH]c2cc1OC,-4.884894,-3.072931,1.811962,0.9999999993116628,3.152818767675072,267.1369999952731,285.2349999957368
1_81_double_A,COc1cc2cc(C=CC3:nccc4nsnc:34)[nH]c2cc1OC,-4.923617,-2.591496,2.332121,0.9999999994161596,2.953766210583426,241.693000003579,277.0299999974668
1_170_double_A,COc1cc2cc(C=CC3:c(C=O)ncc4nonc:34)[nH]c2cc1OC,-5.171867,-3.125031,2.046835,0.9999972003042766,3.2069082586944297,229.814999991504,256.1869999917689
