Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,SA Score,Planarity,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV
1_98_double_A,COc1cc2cc(C=CC3:scc4ncc(C#N)nc:34)[nH]c2cc1OC,-4.892931,-2.906988,1.985943,3.1963741048482763,0.999999999991988,223.9300000001094,281.9000000090454
1_81_thio_B,COc1cc2cc(-c3sc(C4:nccc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.633482,-2.747544,1.885938,3.008207229213533,0.9999999491185534,230.5899999992107,288.1410000045434
5_60_triple_A,COc1cc2cc(C#CC3:c(C=O)ncc4nsnc:34)n(C)c2cc1OC,-5.133854,-3.055298,2.078556,3.351119768031828,1.0,233.3349999971688,247.28699999832315
1_69_triple_A,COc1cc2cc(C#CC3:c(C#N)ncc4nsnc:34)[nH]c2cc1OC,-5.248261,-3.211917,2.036343,3.3090042586944293,1.0,243.2069999995292,280.61600000364706
1_98_thio_B,COc1cc2cc(-c3sc(C4:scc5ncc(C#N)nc:45)cc3OC)[nH]c2cc1OC,-4.708228,-3.011082,1.697147,3.2318966163076697,0.9999997517612745,209.2809999958262,346.8299999949522
1_179_thio_B,COc1cc2cc(-c3sc(C4:c(C#N)ncc5nonc:45)cc3OC)[nH]c2cc1OC,-4.958432,-3.231459,1.726973,3.224962649151232,0.9999999217910367,225.1069999983883,255.8520000020508
1_74_thio_B,COc1cc2cc(-c3sc(C4:nc(C=O)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.78632,-3.073128,1.713192,3.254697653472752,0.9999999427828644,230.851000000257,502.7070000069216
1_82_thio_B,COc1cc2cc(-c3sc(C4:nc(C)cc5nsnc:45)cc3OC)[nH]c2cc1OC,-4.607008,-2.695598,1.91141,3.0719860184269203,0.9999990361975759,230.8789999951841,287.1779999986756
1_208_thio_B,COc1cc2cc(-c3sc(C4:occ5ncc(C#N)nc:45)cc3OC)[nH]c2cc1OC,-4.715446,-2.955455,1.759991,3.2893628220120785,0.999999999929156,242.8729999955976,275.6270000027143
1_191_thio_B,COc1cc2cc(-c3sc(C4:nccc5nonc:45)cc3OC)[nH]c2cc1OC,-4.760126,-2.7768,1.983326,2.9817610753673787,0.9999999990518007,245.2649999977438,285.7230000008712
1_170_thio_B,COc1cc2cc(-c3sc(C4:c(C=O)ncc5nonc:45)cc3OC)[nH]c2cc1OC,-4.92204,-3.161833,1.760207,3.2710781201970383,0.9999992975203514,213.967000003322,261.1199999955715
